prices,times
135.3,2013-04-28 00:00:00
141.96,2013-04-29 00:00:00
135.3,2013-04-30 00:00:00
117.0,2013-05-01 00:00:00
103.43,2013-05-02 00:00:00
91.01,2013-05-03 00:00:00
111.25,2013-05-04 00:00:00
116.79,2013-05-05 00:00:00
118.33,2013-05-06 00:00:00
106.4,2013-05-07 00:00:00
112.64,2013-05-08 00:00:00
113.0,2013-05-09 00:00:00
118.78,2013-05-10 00:00:00
113.01,2013-05-11 00:00:00
114.713,2013-05-12 00:00:00
117.18,2013-05-13 00:00:00
114.5,2013-05-14 00:00:00
114.156,2013-05-15 00:00:00
115.5,2013-05-16 00:00:00
123.1,2013-05-17 00:00:00
123.88,2013-05-18 00:00:00
120.501,2013-05-19 00:00:00
122.58,2013-05-20 00:00:00
122.9,2013-05-21 00:00:00
123.0,2013-05-22 00:00:00
125.74799999999999,2013-05-23 00:00:00
131.7,2013-05-24 00:00:00
130.77,2013-05-25 00:00:00
134.6,2013-05-26 00:00:00
128.985,2013-05-27 00:00:00
129.179,2013-05-28 00:00:00
132.13,2013-05-29 00:00:00
127.40100000000001,2013-05-30 00:00:00
127.98,2013-05-31 00:00:00
129.09,2013-06-01 00:00:00
121.3,2013-06-02 00:00:00
121.16,2013-06-03 00:00:00
121.309,2013-06-05 00:00:00
121.714,2013-06-06 00:00:00
119.0,2013-06-07 00:00:00
110.09,2013-06-08 00:00:00
108.40100000000001,2013-06-09 00:00:00
99.7497,2013-06-10 00:00:00
105.99,2013-06-11 00:00:00
108.9,2013-06-12 00:00:00
108.4,2013-06-13 00:00:00
102.76899999999999,2013-06-14 00:00:00
98.399,2013-06-15 00:00:00
99.99,2013-06-16 00:00:00
100.42,2013-06-17 00:00:00
102.0,2013-06-18 00:00:00
106.55,2013-06-19 00:00:00
107.9,2013-06-20 00:00:00
110.91,2013-06-21 00:00:00
109.015,2013-06-22 00:00:00
107.25,2013-06-23 00:00:00
108.0,2013-06-24 00:00:00
102.443,2013-06-25 00:00:00
103.691,2013-06-26 00:00:00
103.39,2013-06-27 00:00:00
99.66,2013-06-28 00:00:00
93.3311,2013-06-29 00:00:00
95.3886,2013-06-30 00:00:00
97.50399999999999,2013-07-01 00:00:00
89.48899999999999,2013-07-02 00:00:00
90.79700000000001,2013-07-03 00:00:00
78.8,2013-07-04 00:00:00
78.48,2013-07-05 00:00:00
67.809,2013-07-06 00:00:00
68.0831,2013-07-07 00:00:00
77.502,2013-07-08 00:00:00
76.3915,2013-07-09 00:00:00
77.0,2013-07-10 00:00:00
85.75,2013-07-11 00:00:00
93.804,2013-07-12 00:00:00
88.0622,2013-07-13 00:00:00
95.58,2013-07-14 00:00:00
94.0,2013-07-15 00:00:00
97.301,2013-07-16 00:00:00
98.9796,2013-07-17 00:00:00
97.8,2013-07-18 00:00:00
88.7869,2013-07-19 00:00:00
91.572,2013-07-20 00:00:00
89.28,2013-07-21 00:00:00
90.3672,2013-07-22 00:00:00
91.7024,2013-07-23 00:00:00
94.5806,2013-07-24 00:00:00
94.525,2013-07-25 00:00:00
96.9499,2013-07-26 00:00:00
94.13,2013-07-27 00:00:00
94.005,2013-07-28 00:00:00
98.5759,2013-07-29 00:00:00
101.5,2013-07-30 00:00:00
110.34,2013-07-31 00:00:00
106.23,2013-08-01 00:00:00
101.61,2013-08-02 00:00:00
103.7,2013-08-03 00:00:00
104.86,2013-08-04 00:00:00
106.56,2013-08-05 00:00:00
105.84100000000001,2013-08-06 00:00:00
106.75,2013-08-07 00:00:00
101.67200000000001,2013-08-08 00:00:00
103.4,2013-08-09 00:00:00
102.71,2013-08-10 00:00:00
103.77,2013-08-11 00:00:00
105.18,2013-08-12 00:00:00
106.068,2013-08-13 00:00:00
111.62100000000001,2013-08-14 00:00:00
111.87,2013-08-15 00:00:00
109.867,2013-08-16 00:00:00
112.74,2013-08-17 00:00:00
114.4,2013-08-18 00:00:00
118.78200000000001,2013-08-19 00:00:00
120.5,2013-08-20 00:00:00
121.51,2013-08-21 00:00:00
122.499,2013-08-22 00:00:00
120.0,2013-08-23 00:00:00
120.44,2013-08-24 00:00:00
122.0,2013-08-25 00:00:00
122.04,2013-08-26 00:00:00
125.67,2013-08-27 00:00:00
123.02,2013-08-28 00:00:00
123.44,2013-08-29 00:00:00
129.2,2013-08-30 00:00:00
137.76,2013-08-31 00:00:00
138.17,2013-09-01 00:00:00
137.17,2013-09-02 00:00:00
137.51,2013-09-03 00:00:00
135.21,2013-09-04 00:00:00
129.96,2013-09-05 00:00:00
126.13,2013-09-06 00:00:00
123.73,2013-09-07 00:00:00
121.77,2013-09-08 00:00:00
126.4,2013-09-09 00:00:00
127.78,2013-09-10 00:00:00
131.65,2013-09-11 00:00:00
