,Nakamoto_coef_of_mining,active_addresses_count,active_clusters_count,gini_coef_of_clusters_wealth,time
0,509,1000,2,0.685906976744186,2011-10-13 03:47:04
1,509,1006,5,0.7429718,2011-10-13 04:32:05
2,510,1000,1,0.7647321065375303,2011-10-13 05:14:21
3,511,1013,6,0.7807674465145631,2011-10-13 05:55:39
4,511,1074,6,0.7989061544719864,2011-10-13 07:05:03
5,511,1582,28,0.8471829585100599,2011-10-13 07:54:01
6,511,1046,7,0.8555950031583477,2011-10-13 09:45:40
7,511,1023,4,0.8633983530536211,2011-10-13 11:35:36
8,510,1088,17,0.8623807304436204,2011-10-13 18:59:36
9,511,1140,18,0.8621385020136054,2011-10-14 02:04:19
10,511,1443,83,0.8652541367180687,2011-10-15 06:18:51
11,511,2168,171,0.8634729567085471,2011-10-16 10:36:26
12,511,5891,256,0.8899806515480757,2011-10-17 15:52:10
13,511,4414,247,0.890535226283082,2011-10-18 21:34:03
14,511,3786,246,0.8930940039387126,2011-10-20 09:14:27
15,511,4402,228,0.8937068562141274,2011-10-21 12:16:19
16,500,3957,255,0.8964015841415524,2011-10-22 22:05:34
17,511,3613,230,0.8978340195101934,2011-10-24 03:39:41
18,511,4376,249,0.9029461199527293,2011-10-26 00:16:12
19,511,5709,250,0.9066238914381874,2011-10-28 00:16:55
20,511,4744,248,0.9124774758200493,2011-10-29 22:38:44
21,511,4917,253,0.9101616228326141,2011-10-31 09:55:52
22,503,4639,281,0.909682383570357,2011-11-01 15:34:05
23,507,3825,271,0.9120888955142141,2011-11-02 10:19:16
24,503,4000,263,0.9139681201906273,2011-11-03 12:59:14
25,507,3954,253,0.915332209828225,2011-11-04 11:49:18
26,498,4517,296,0.9176644223691446,2011-11-06 01:23:56
27,502,4410,266,0.9183247984098779,2011-11-07 15:48:50
28,506,4841,290,0.9220665779140271,2011-11-09 11:26:26
29,511,4628,277,0.9240584042298837,2011-11-11 09:41:19
30,511,4625,505,0.9298447577954635,2011-11-13 02:36:40
31,511,4544,349,0.9316785586552033,2011-11-14 20:52:38
32,511,27258,5543,0.9796996872063398,2011-11-16 12:57:51
33,511,48823,16432,0.9922228974130669,2011-11-18 04:47:11
34,511,11322,3026,0.9929709460222951,2011-11-19 20:55:57
35,511,4279,487,0.9928337388966886,2011-11-21 10:39:36
36,511,5266,422,0.9929048096369766,2011-11-23 05:29:02
37,511,4496,392,0.9929352290675573,2011-11-25 01:05:56
38,511,4472,383,0.9930247110465206,2011-11-26 18:34:24
39,511,4250,374,0.993140876862289,2011-11-28 11:07:53
40,398,3407,357,0.9931832294460021,2011-11-30 03:13:00
41,239,3057,226,0.9932432566552375,2011-12-01 13:34:41
42,397,3041,237,0.9933416040032932,2011-12-02 21:50:48
43,325,3139,318,0.9934222557703809,2011-12-04 04:21:38
44,408,3121,239,0.9935705768353844,2011-12-05 23:43:49
45,303,4370,232,0.9939702147284853,2011-12-07 15:36:02
46,297,3286,242,0.9942978839347826,2011-12-09 13:24:07
47,270,2726,214,0.9942583987878135,2011-12-11 06:30:04
48,246,2815,227,0.9943357256551999,2011-12-13 01:12:08
49,408,3181,246,0.994315803583474,2011-12-15 14:11:15
50,497,2799,213,0.9942738472811595,2011-12-17 06:39:50
51,496,2781,221,0.9943858491311549,2011-12-18 22:21:38
52,487,3034,216,0.9944743263988379,2011-12-20 18:17:49
53,492,2750,199,0.9943289996265554,2011-12-22 06:52:49
54,485,3260,255,0.9943456993437559,2011-12-24 06:27:24
55,476,3760,281,0.9942841462113314,2011-12-27 13:44:25
56,496,3044,232,0.9941458921125004,2011-12-29 08:38:51
57,499,2576,179,0.994222517197482,2011-12-30 04:05:12
58,504,2572,143,0.9942202234470369,2011-12-31 09:21:18
