NacamotoCoefs,activeClustersCounts,fees,ginisOfClustersWealth,nonEmptyClustersCounts,relativeFlowVolumes,times,unspents
510.0,215.2,20000.0,0.7546568968536531,397.8,0.011253576306232119,2011-10-13 05:14:21,335002210000.0
510.4,214.0,20000.0,0.7869120932068279,486.0,0.044318896184014384,2011-10-13 05:55:39,317002010000.0
510.8,206.4,20000.0,0.8094367338384973,558.8,0.048070313313810335,2011-10-13 07:05:03,264002010000.0
511.0,195.0,20000.0,0.8291699831417155,619.8,0.049186979977352004,2011-10-13 07:54:01,229002010000.0
510.8,202.4,0.0,0.8454926399275269,678.6,0.05279695919238605,2011-10-13 09:45:40,205999800000.0
510.8,209.0,0.0,0.8581391094358508,737.2,0.05234695920608605,2011-10-13 11:35:36,247199800000.0
510.8,246.2,170000.0,0.8617533450774527,811.6,0.03126208125426343,2011-10-13 18:59:36,296999933386.6
510.8,290.0,3901415.4,0.8633289357874926,901.6,0.04562601559479257,2011-10-14 02:04:19,346363034983.8
510.8,360.8,24201750.6,0.8686453954863834,989.0,0.174487208118221,2011-10-15 06:18:51,448309994661.4
511.0,397.2,33806600.8,0.8742762946542758,1084.2,0.24212862087482293,2011-10-16 10:36:26,521916466340.2
511.0,432.4,43141996.2,0.8804673950392973,1184.6,0.27814079293181154,2011-10-17 15:52:10,533703377488.2
511.0,439.2,50598073.0,0.8861579389385088,1282.6,0.30503733523921095,2011-10-18 21:34:03,522154677500.6
508.8,443.2,58716229.6,0.8927436644251099,1374.6,0.33397014108759143,2011-10-20 09:14:27,510129541567.8
508.8,408.8,47716579.8,0.8943143380175334,1469.0,0.2438985965447066,2011-10-21 12:16:19,419611724665.4
508.8,398.4,49224894.2,0.8967965167514629,1551.4,0.21854637309699942,2011-10-22 22:05:34,362296610558.0
508.8,391.4,49266634.0,0.8995024942513579,1629.4,0.2595175931803872,2011-10-24 03:39:41,317899801169.6
508.8,394.6,60440733.0,0.9032566181725423,1706.6,0.26421422541713513,2011-10-26 00:16:12,305363667995.4
511.0,384.6,95951090.0,0.9060086259107548,1781.6,0.3629623755066985,2011-10-28 00:16:55,263215222908.4
509.4,401.2,137745008.4,0.9083782987227875,1864.8,0.460601906108104,2011-10-29 22:38:44,249353205387.2
508.6,400.0,156396309.0,0.9102068538350844,1944.0,0.44354700804272695,2011-10-31 09:55:52,208671543599.4
507.0,394.0,157643547.4,0.9116756995855724,2015.2,0.39537278219364885,2011-11-01 15:34:05,194675241291.4
506.2,382.6,144638667.6,0.9122466463872076,2080.6,0.37737837790413803,2011-11-02 10:19:16,167468066892.0
503.6,385.6,104952791.8,0.9137472062945136,2137.0,0.2614614605410229,2011-11-03 12:59:14,167630798678.2
503.4,370.6,83955701.8,0.9154756892624178,2183.0,0.14468480169162748,2011-11-04 11:49:18,154490035607.2
503.2,365.6,66059424.6,0.9174712257423803,2228.0,0.14894633321324519,2011-11-06 01:23:56,192455285117.0
504.8,364.0,76931502.0,0.9194892825502314,2278.2,0.15032192997917232,2011-11-07 15:48:50,183883819966.0
505.6,408.8,97768642.4,0.9223917921436792,2343.8,0.1441406061458049,2011-11-09 11:26:26,171634563354.8
508.2,413.8,99513966.8,0.9251946194008911,2410.8,0.13867953316496665,2011-11-11 09:41:19,164437476681.0
510.0,1462.4,768245527.4,0.9374695971601834,3327.4,0.1569859998059928,2011-11-13 02:36:40,161343648106.0
511.0,4690.6,2328793107.6,0.9515008610599913,6207.2,0.15473108905758995,2011-11-14 20:52:38,129630255795.2
511.0,5239.0,4318740065.2,0.9652833694184736,9345.4,0.14266889034572813,2011-11-16 12:57:51,116325498323.8
511.0,5237.6,12737255562.8,0.9778811656387185,12471.6,0.25460801665538135,2011-11-18 04:47:11,121804675496.0
511.0,5251.4,37356434882.8,0.9901264158350731,15601.4,0.2554794520463547,2011-11-19 20:55:57,122931067857.8
511.0,4221.0,47366189676.8,0.9927735242073166,17888.6,0.23678803106131974,2011-11-21 10:39:36,134016894552.4
511.0,1011.2,52872974055.8,0.9929338869340072,18216.6,0.23226849884262535,2011-11-23 05:29:02,127770231409.8
511.0,482.4,53358037498.2,0.992967873102006,18284.2,0.23158684198259155,2011-11-25 01:05:56,133654341868.6
488.4,453.8,52563045685.0,0.9930377712118685,18346.6,0.12246853397373396,2011-11-26 18:34:24,132186818686.8
434.0,417.8,28717131595.6,0.9931054606155207,18404.2,0.11337352444411153,2011-11-28 11:07:53,135200464607.8
411.2,386.6,19043836924.4,0.9931867356026679,18454.0,0.11800146818561867,2011-11-30 03:13:00,121526660360.6
374.0,371.0,12520070216.8,0.99326624454744,18496.6,0.11165555866841734,2011-12-01 13:34:41,112013129847.8
353.4,339.4,10723561539.4,0.9933521845420591,18535.8,0.11676928372449306,2011-12-02 21:50:48,108954476385.2
334.4,313.0,3880995270.0,0.9935095815985558,18570.0,0.1696833312350398,2011-12-04 04:21:38,124121066861.4
346.0,313.8,3792177987.0,0.993720507054465,18601.2,0.20534880586070225,2011-12-05 23:43:49,123076443187.8
320.6,307.0,3077583959.6,0.9939038660113692,18630.8,0.1988634433406971,2011-12-07 15:36:02,126511463919.2
304.8,289.6,3094550777.4,0.994086559988333,18662.2,0.19769306021422273,2011-12-09 13:24:07,129828772109.0
304.8,296.4,2954922655.6,0.9942356053379509,18696.0,0.1936221762548089,2011-12-11 06:30:04,317061837804.6
343.6,293.8,2549757235.0,0.9942963318484856,18731.8,0.1267716149236034,2011-12-13 01:12:08,296124314259.0
383.4,288.6,2486393381.2,0.9943139248877602,18767.6,0.0947311632862515,2011-12-15 14:11:15,287657802684.2
426.8,293.6,2857295700.8,0.994357110409965,18804.2,0.10037541000964419,2011-12-17 06:39:50,287900137987.6
476.0,292.8,2675316159.8,0.9943557652042362,18842.8,0.09240646997913435,2011-12-18 22:21:38,282301556398.0
491.4,299.0,2566632966.4,0.9943617443562927,18884.0,0.09188398129335651,2011-12-20 18:17:49,96298037371.6
487.2,323.4,3242470292.0,0.9943638041423271,18930.4,0.09551299793616812,2011-12-22 06:52:49,153668583447.0
487.2,332.2,3383038500.8,0.9943158127385961,18980.4,0.0896116373726523,2011-12-24 06:27:24,399445545617.4
489.6,326.8,3045728720.6,0.994265450898325,19029.0,0.08090726822905528,2011-12-27 13:44:25,402109734019.0
492.0,321.2,3018526260.6,0.9942436956624213,19074.0,0.08288368124762667,2011-12-29 08:38:51,400439670179.4
494.6,304.4,3150759285.2,0.9942595710006508,19111.6,0.08115506936416814,2011-12-30 04:05:12,469397048463.4
501.4,279.6,2486993415.2,0.9943165579147534,19142.0,0.08293821043621753,2011-12-31 09:21:18,408282912140.8
504.4,274.6,2006621998.6,0.994405774900742,19172.2,0.08122646553497233,2012-01-02 04:02:46,162481973344.0
506.4,282.8,2324124906.8,0.9944871356652891,19203.6,0.08362904038893239,2012-01-03 18:56:36,154334109524.2
488.2,306.8,2966231534.2,0.994557617997182,19239.6,0.08105007233939529,2012-01-05 07:23:20,174379417391.2
472.6,319.2,3277965398.8,0.9945910225519576,19276.6,0.07437801396536851,2012-01-07 02:04:15,106659529750.8
466.6,318.2,3245848311.0,0.994601125015796,19315.6,0.06672308222973708,2012-01-10 14:11:26,106914980793.4
466.6,316.6,3350669130.0,0.9946102345382677,19351.4,0.06514184629932636,2012-01-13 02:54:26,109532801309.4
467.0,342.4,3535749342.6,0.994625379555122,19391.0,0.06425128073087569,2012-01-14 02:09:20,136079137717.2
486.6,347.6,4021453828.4,0.994604491418795,19435.8,0.0684772227880596,2012-01-15 18:26:38,160372912935.4
