prices,times
4.29983,2013-04-28 00:00:00 UTC
4.3594,2013-04-29 00:00:00 UTC
4.18295,2013-04-30 00:00:00 UTC
3.64914,2013-05-01 00:00:00 UTC
3.38879,2013-05-02 00:00:00 UTC
2.78957,2013-05-03 00:00:00 UTC
3.5170800000000004,2013-05-04 00:00:00 UTC
3.6301300000000003,2013-05-05 00:00:00 UTC
3.5073300000000005,2013-05-06 00:00:00 UTC
3.21463,2013-05-07 00:00:00 UTC
3.4615,2013-05-08 00:00:00 UTC
3.4239,2013-05-09 00:00:00 UTC
3.5001800000000003,2013-05-10 00:00:00 UTC
3.38675,2013-05-11 00:00:00 UTC
3.24093,2013-05-12 00:00:00 UTC
3.20229,2013-05-13 00:00:00 UTC
3.0673,2013-05-14 00:00:00 UTC
2.93058,2013-05-15 00:00:00 UTC
2.86922,2013-05-16 00:00:00 UTC
3.15827,2013-05-17 00:00:00 UTC
3.32471,2013-05-18 00:00:00 UTC
3.2715799999999997,2013-05-19 00:00:00 UTC
3.18818,2013-05-20 00:00:00 UTC
3.08331,2013-05-21 00:00:00 UTC
3.0921,2013-05-22 00:00:00 UTC
3.1525,2013-05-23 00:00:00 UTC
3.14642,2013-05-24 00:00:00 UTC
3.1162,2013-05-25 00:00:00 UTC
3.2562,2013-05-26 00:00:00 UTC
3.11957,2013-05-27 00:00:00 UTC
3.09213,2013-05-28 00:00:00 UTC
3.07544,2013-05-30 00:00:00 UTC
2.94667,2013-05-31 00:00:00 UTC
2.94623,2013-06-01 00:00:00 UTC
2.8435,2013-06-02 00:00:00 UTC
2.6895,2013-06-03 00:00:00 UTC
2.7273,2013-06-04 00:00:00 UTC
2.9842299999999997,2013-06-05 00:00:00 UTC
2.83148,2013-06-06 00:00:00 UTC
2.7589,2013-06-07 00:00:00 UTC
2.5823,2013-06-08 00:00:00 UTC
2.5302599999999997,2013-06-09 00:00:00 UTC
2.31937,2013-06-10 00:00:00 UTC
2.48252,2013-06-11 00:00:00 UTC
2.3902200000000002,2013-06-12 00:00:00 UTC
2.3539,2013-06-13 00:00:00 UTC
2.24431,2013-06-14 00:00:00 UTC
2.12094,2013-06-15 00:00:00 UTC
2.0696,2013-06-16 00:00:00 UTC
2.113,2013-06-17 00:00:00 UTC
2.28174,2013-06-18 00:00:00 UTC
2.2662400000000003,2013-06-19 00:00:00 UTC
2.28867,2013-06-20 00:00:00 UTC
2.30062,2013-06-21 00:00:00 UTC
2.8157799999999997,2013-06-22 00:00:00 UTC
3.07596,2013-06-23 00:00:00 UTC
3.06858,2013-06-24 00:00:00 UTC
2.87482,2013-06-25 00:00:00 UTC
2.82429,2013-06-26 00:00:00 UTC
2.87716,2013-06-27 00:00:00 UTC
2.96028,2013-06-28 00:00:00 UTC
2.83478,2013-06-29 00:00:00 UTC
2.7960000000000003,2013-06-30 00:00:00 UTC
3.05876,2013-07-01 00:00:00 UTC
2.97799,2013-07-02 00:00:00 UTC
2.835,2013-07-03 00:00:00 UTC
2.58748,2013-07-04 00:00:00 UTC
2.6703200000000002,2013-07-05 00:00:00 UTC
2.4375299999999998,2013-07-06 00:00:00 UTC
2.40999,2013-07-07 00:00:00 UTC
2.68284,2013-07-08 00:00:00 UTC
2.62584,2013-07-09 00:00:00 UTC
2.5908,2013-07-10 00:00:00 UTC
2.78437,2013-07-11 00:00:00 UTC
2.8209400000000002,2013-07-12 00:00:00 UTC
2.702,2013-07-13 00:00:00 UTC
2.79461,2013-07-14 00:00:00 UTC
2.86238,2013-07-15 00:00:00 UTC
2.95499,2013-07-16 00:00:00 UTC
3.1363,2013-07-17 00:00:00 UTC
3.0977799999999998,2013-07-18 00:00:00 UTC
2.83108,2013-07-19 00:00:00 UTC
2.94747,2013-07-20 00:00:00 UTC
2.8741,2013-07-21 00:00:00 UTC
2.90203,2013-07-22 00:00:00 UTC
2.90663,2013-07-23 00:00:00 UTC
2.89478,2013-07-24 00:00:00 UTC
2.94829,2013-07-25 00:00:00 UTC
2.90025,2013-07-26 00:00:00 UTC
2.8811,2013-07-27 00:00:00 UTC
2.8854,2013-07-28 00:00:00 UTC
2.94805,2013-07-29 00:00:00 UTC
2.96412,2013-07-30 00:00:00 UTC
2.9615,2013-07-31 00:00:00 UTC
2.9378599999999997,2013-08-01 00:00:00 UTC
2.92638,2013-08-02 00:00:00 UTC
2.88654,2013-08-03 00:00:00 UTC
2.9925,2013-08-04 00:00:00 UTC
2.91851,2013-08-05 00:00:00 UTC
2.8643099999999997,2013-08-06 00:00:00 UTC
2.76763,2013-08-07 00:00:00 UTC
2.7713900000000002,2013-08-08 00:00:00 UTC
2.71414,2013-08-09 00:00:00 UTC
2.6471,2013-08-10 00:00:00 UTC
2.60786,2013-08-11 00:00:00 UTC
2.63477,2013-08-12 00:00:00 UTC
2.66569,2013-08-13 00:00:00 UTC
2.76535,2013-08-14 00:00:00 UTC
2.74753,2013-08-15 00:00:00 UTC
2.74309,2013-08-16 00:00:00 UTC
2.71122,2013-08-17 00:00:00 UTC
2.81783,2013-08-18 00:00:00 UTC
2.81232,2013-08-19 00:00:00 UTC
2.82928,2013-08-20 00:00:00 UTC
2.7530200000000002,2013-08-21 00:00:00 UTC
2.62637,2013-08-22 00:00:00 UTC
2.76157,2013-08-23 00:00:00 UTC
2.7230000000000003,2013-08-24 00:00:00 UTC
2.65522,2013-08-25 00:00:00 UTC
2.57915,2013-08-26 00:00:00 UTC
2.52787,2013-08-27 00:00:00 UTC
2.54263,2013-08-28 00:00:00 UTC
2.5436,2013-08-29 00:00:00 UTC
2.5361700000000003,2013-08-30 00:00:00 UTC
2.67694,2013-08-31 00:00:00 UTC
2.59768,2013-09-01 00:00:00 UTC
2.6002099999999997,2013-09-02 00:00:00 UTC
2.50546,2013-09-03 00:00:00 UTC
2.6802900000000003,2013-09-04 00:00:00 UTC
2.79602,2013-09-05 00:00:00 UTC
2.73178,2013-09-06 00:00:00 UTC
2.70368,2013-09-07 00:00:00 UTC
2.67392,2013-09-08 00:00:00 UTC
2.65835,2013-09-09 00:00:00 UTC
2.6822,2013-09-10 00:00:00 UTC
2.65227,2013-09-11 00:00:00 UTC
2.68863,2013-09-12 00:00:00 UTC
2.66591,2013-09-13 00:00:00 UTC
2.62133,2013-09-14 00:00:00 UTC
2.66533,2013-09-15 00:00:00 UTC
2.6549,2013-09-16 00:00:00 UTC
2.63197,2013-09-17 00:00:00 UTC
2.57915,2013-09-18 00:00:00 UTC
2.5634799999999998,2013-09-19 00:00:00 UTC
2.5903099999999997,2013-09-20 00:00:00 UTC
2.52798,2013-09-21 00:00:00 UTC
2.53531,2013-09-22 00:00:00 UTC
2.48431,2013-09-23 00:00:00 UTC
2.43742,2013-09-24 00:00:00 UTC
2.46528,2013-09-25 00:00:00 UTC
2.39876,2013-09-26 00:00:00 UTC
2.44145,2013-09-27 00:00:00 UTC
2.34505,2013-09-28 00:00:00 UTC
2.39315,2013-09-29 00:00:00 UTC
2.23438,2013-09-30 00:00:00 UTC
2.3936,2013-10-01 00:00:00 UTC
2.42818,2013-10-02 00:00:00 UTC
2.01653,2013-10-03 00:00:00 UTC
2.2532,2013-10-04 00:00:00 UTC
2.21442,2013-10-05 00:00:00 UTC
2.14452,2013-10-06 00:00:00 UTC
2.1449,2013-10-07 00:00:00 UTC
2.05116,2013-10-08 00:00:00 UTC
1.95993,2013-10-09 00:00:00 UTC
2.00256,2013-10-10 00:00:00 UTC
2.0804400000000003,2013-10-11 00:00:00 UTC
2.12099,2013-10-12 00:00:00 UTC
2.1379900000000003,2013-10-13 00:00:00 UTC
2.0817,2013-10-14 00:00:00 UTC
2.03158,2013-10-15 00:00:00 UTC
1.9000700000000001,2013-10-16 00:00:00 UTC
1.8983400000000001,2013-10-17 00:00:00 UTC
1.91093,2013-10-18 00:00:00 UTC
1.95658,2013-10-19 00:00:00 UTC
1.92744,2013-10-20 00:00:00 UTC
1.849,2013-10-21 00:00:00 UTC
1.7158799999999998,2013-10-22 00:00:00 UTC
1.8903299999999998,2013-10-23 00:00:00 UTC
2.1774400000000003,2013-10-24 00:00:00 UTC
2.60692,2013-10-25 00:00:00 UTC
2.2162599999999997,2013-10-26 00:00:00 UTC
2.24922,2013-10-27 00:00:00 UTC
2.1475299999999997,2013-10-28 00:00:00 UTC
2.18909,2013-10-29 00:00:00 UTC
2.1736,2013-10-30 00:00:00 UTC
2.24327,2013-10-31 00:00:00 UTC
2.33186,2013-11-01 00:00:00 UTC
2.45307,2013-11-02 00:00:00 UTC
2.97589,2013-11-03 00:00:00 UTC
3.08881,2013-11-04 00:00:00 UTC
3.0387299999999997,2013-11-05 00:00:00 UTC
3.08807,2013-11-06 00:00:00 UTC
4.39321,2013-11-07 00:00:00 UTC
4.5758,2013-11-08 00:00:00 UTC
4.2678400000000005,2013-11-09 00:00:00 UTC
3.88841,2013-11-10 00:00:00 UTC
3.9143,2013-11-11 00:00:00 UTC
3.9979400000000003,2013-11-12 00:00:00 UTC
4.22092,2013-11-13 00:00:00 UTC
4.34478,2013-11-14 00:00:00 UTC
4.33204,2013-11-15 00:00:00 UTC
4.389390000000001,2013-11-16 00:00:00 UTC
4.29775,2013-11-17 00:00:00 UTC
5.44113,2013-11-18 00:00:00 UTC
7.8202,2013-11-19 00:00:00 UTC
7.10458,2013-11-20 00:00:00 UTC
9.09769,2013-11-21 00:00:00 UTC
9.48073,2013-11-22 00:00:00 UTC
10.9884,2013-11-23 00:00:00 UTC
10.4496,2013-11-24 00:00:00 UTC
10.7737,2013-11-25 00:00:00 UTC
14.8243,2013-11-26 00:00:00 UTC
26.0103,2013-11-27 00:00:00 UTC
50.266000000000005,2013-11-28 00:00:00 UTC
35.7801,2013-11-29 00:00:00 UTC
38.7441,2013-11-30 00:00:00 UTC
33.7176,2013-12-01 00:00:00 UTC
31.066999999999997,2013-12-02 00:00:00 UTC
34.9061,2013-12-03 00:00:00 UTC
42.9471,2013-12-04 00:00:00 UTC
39.1735,2013-12-05 00:00:00 UTC
30.2663,2013-12-06 00:00:00 UTC
24.44,2013-12-07 00:00:00 UTC
24.7548,2013-12-08 00:00:00 UTC
30.6586,2013-12-09 00:00:00 UTC
35.1318,2013-12-10 00:00:00 UTC
30.9011,2013-12-11 00:00:00 UTC
30.9343,2013-12-12 00:00:00 UTC
30.7196,2013-12-13 00:00:00 UTC
30.5495,2013-12-14 00:00:00 UTC
30.9159,2013-12-15 00:00:00 UTC
26.3484,2013-12-16 00:00:00 UTC
23.2584,2013-12-17 00:00:00 UTC
15.8564,2013-12-18 00:00:00 UTC
