,Nakamoto_coef_of_mining,active_addresses_count,active_clusters_count,gini_coef_of_clusters_wealth,time
0,511,1000,21,0.757439134355275,2013-04-03 01:27:49
1,511,1000,46,0.9147619031448548,2013-04-03 02:01:00
2,511,1004,83,0.94213649441823,2013-04-03 03:25:44
3,511,1027,100,0.9527710867360207,2013-04-03 06:57:14
4,511,1740,114,0.9668115733099557,2013-04-03 17:43:53
5,511,1000,111,0.9719296910603136,2013-04-04 06:01:11
6,511,1000,146,0.9768385990715756,2013-04-05 01:02:17
7,511,1002,73,0.9778648392223485,2013-04-07 17:02:47
8,511,1000,195,0.9827760025177721,2013-04-08 11:49:07
9,511,1050,76,0.9834274533743793,2013-04-09 16:48:02
10,504,1120,56,0.9839154921233632,2013-04-10 07:43:22
11,511,1187,53,0.9843023383482178,2013-04-11 01:34:43
12,511,1031,59,0.9842140308367587,2013-04-11 07:16:21
13,222,1385,138,0.9856066129719132,2013-04-11 16:42:51
14,363,1272,180,0.986408350254316,2013-04-12 03:35:24
15,376,1218,156,0.9870570632277,2013-04-12 17:18:15
16,388,1335,171,0.9872871148925336,2013-04-13 07:45:04
17,208,1012,122,0.9872113957177299,2013-04-13 22:45:10
18,1,607,96,0.9870699874958522,2013-04-14 09:17:39
19,1,820,94,0.9870036526192008,2013-04-15 01:17:21
20,308,1051,125,0.9868114218198796,2013-04-16 12:14:15
21,2,1194,102,0.9866074637030645,2013-04-17 00:50:31
22,198,1398,170,0.9864447712362553,2013-04-17 19:32:17
23,317,3847,259,0.9872729096612346,2013-04-18 15:18:26
24,385,1520,179,0.987062542785492,2013-04-19 08:10:34
25,374,1439,171,0.9869241672936582,2013-04-19 23:24:16
26,352,1460,155,0.9867670861631633,2013-04-20 17:12:40
27,362,2259,170,0.9864959352766359,2013-04-21 08:46:00
28,292,1270,150,0.9863164932003523,2013-04-22 01:03:52
29,350,1452,152,0.9861911046811844,2013-04-22 19:00:33
30,362,1473,148,0.986130338019335,2013-04-23 15:57:01
31,305,1557,148,0.9861357108044236,2013-04-24 08:54:39
32,235,1326,131,0.9861957584291208,2013-04-25 02:38:23
33,184,1204,114,0.9861907278326063,2013-04-25 15:52:39
34,381,1541,121,0.9862497835431977,2013-04-26 13:42:49
35,121,1027,99,0.9862217422638142,2013-04-26 23:04:43
36,452,3819,114,0.9862247205106796,2013-04-28 05:16:06
37,511,1679,100,0.9861486033300686,2013-04-28 19:33:00
38,511,4164,130,0.986718933666856,2013-04-29 11:44:18
39,511,1987,122,0.9868952836932428,2013-04-30 00:32:16
40,439,1527,117,0.9867263822924998,2013-04-30 13:02:49
41,241,1555,109,0.9860047968142657,2013-05-01 08:49:47
42,103,1311,78,0.9862418860150204,2013-05-01 23:27:37
43,344,1761,121,0.9866444850214856,2013-05-02 17:44:23
44,129,1492,116,0.9872288183463185,2013-05-03 07:02:07
45,3,1529,117,0.9872418063557792,2013-05-03 15:53:24
46,68,1660,180,0.9887657441603679,2013-05-04 14:01:39
47,3,1955,193,0.9893960758001809,2013-05-05 15:23:47
48,96,1418,189,0.9894820049416506,2013-05-06 03:26:08
49,53,2168,214,0.9892765487160999,2013-05-06 20:59:49
50,3,1594,186,0.9896281378534335,2013-05-07 09:50:09
51,2,2267,503,0.9912554925745651,2013-05-08 07:23:20
52,2,1418,182,0.9910559197241053,2013-05-08 22:57:41
53,2,2527,171,0.9908761739346805,2013-05-09 19:22:13
