NacamotoCoefs,activeClustersCounts,fees,ginisOfClustersWealth,nonEmptyClustersCounts,relativeFlowVolumes,times,unspents
511.0,72.8,230000000.0,0.9068857098281352,140.0,0.12363101708208686,2013-04-03 03:25:44,213158000000.0
511.0,90.8,230000000.0,0.9497457591865608,210.2,0.12363101708208686,2013-04-03 06:57:14,215038000000.0
511.0,110.8,230000000.0,0.9621564620207277,294.6,0.12363101708208686,2013-04-03 17:43:53,163318000000.0
511.0,108.8,232000000.0,0.9692979695467411,372.6,0.1221142989538585,2013-04-04 06:01:11,82438000000.0
511.0,127.8,180000000.0,0.9752676239969482,472.2,0.11741626186571756,2013-04-05 01:02:17,23602000000.0
511.0,120.2,4000000.2,0.9785591394054636,563.2,0.00012084518916304355,2013-04-07 17:02:47,16720000000.0
509.6,109.2,4000000.0,0.9809523677763459,646.2,0.00089735215308863,2013-04-08 11:49:07,14400000000.0
509.6,90.6,4000000.0,0.9824435446841553,714.4,0.0010740090049911736,2013-04-09 16:48:02,10680000000.0
509.6,87.8,2000000.2,0.9837122369707959,778.0,0.0010994277158337764,2013-04-10 07:43:22,9600000000.0
451.8,76.4,124000001.2,0.9842782844022413,822.0,0.016486139143434598,2013-04-11 01:34:43,6462860049.8
422.2,97.2,154141912.4,0.9848744462416071,880.4,0.016764322987201825,2013-04-11 07:16:21,15434672730.8
396.6,117.2,164741912.4,0.9855027967923947,945.2,0.029874490176128848,2013-04-11 16:42:51,21072337171.4
372.0,140.8,233141914.4,0.9860997466388113,1020.6,0.0305645073134878,2013-04-12 03:35:24,25927637169.4
311.4,153.4,285141914.8,0.9866992529215317,1100.8,0.03076903526240074,2013-04-12 17:18:15,29354805814.6
267.2,145.0,181141914.2,0.9869918682324894,1165.4,0.025866335386906313,2013-04-13 07:45:04,26574803368.4
194.8,127.8,185200002.8,0.9871109094214168,1208.8,0.02578581633186717,2013-04-13 22:45:10,16582489263.6
181.2,121.6,216608637.4,0.9870617371561886,1243.4,0.01209440028143284,2013-04-14 09:17:39,12018870894.8
104.0,107.8,296208635.8,0.9869256026306925,1264.2,0.011851536402884975,2013-04-15 01:17:21,29940926486.8
102.0,117.4,564250637.4,0.9867720743567074,1283.6,0.022782648494160576,2013-04-16 12:14:15,32152241680.8
165.2,150.0,814530638.6,0.9868045047900897,1302.8,0.08792608035577545,2013-04-17 00:50:31,131028204235.4
242.0,167.0,984370641.6,0.986804167800557,1322.6,0.08832485218124876,2013-04-17 19:32:17,134004997809.0
255.2,176.2,1158362011.0,0.9868146633425272,1342.2,0.08850694882698092,2013-04-18 15:18:26,140314134260.0
325.2,186.8,1182402016.6,0.9868347208191629,1361.4,0.08865200311776225,2013-04-19 08:10:34,124889226312.4
358.0,186.8,1218380019.0,0.9868313770373456,1377.6,0.07929519465049753,2013-04-19 23:24:16,121369265031.0
353.0,165.0,1148100022.6,0.9866324181267887,1395.0,0.004273852572615866,2013-04-20 17:12:40,24993016186.6
346.0,159.6,1136060026.0,0.9864542572298027,1409.8,0.003941689141215708,2013-04-21 08:46:00,24627353122.0
343.6,155.0,1208060031.4,0.9862889679974265,1422.0,0.0039362138433347345,2013-04-22 01:03:52,22432572020.2
334.2,153.6,1322028427.8,0.9861519812424702,1433.2,0.0036778582650517947,2013-04-22 19:00:33,20048805833.8
308.8,145.8,1194208430.8,0.9860844996226824,1444.0,0.00225632183856197,2013-04-23 15:57:01,25719449854.6
287.2,138.6,1114228431.2,0.9860526382602309,1453.2,0.0019512459137608338,2013-04-24 08:54:39,24115525047.6
293.4,132.4,1126248433.0,0.986057690649351,1462.6,0.0021495707811263363,2013-04-25 02:38:23,25102416761.8
245.2,122.6,992268429.0,0.9860717012292772,1470.0,0.0020291940388087936,2013-04-25 15:52:39,25835075672.6
274.6,115.8,1363340404.2,0.9860854322171347,1477.8,0.17315260600628155,2013-04-26 13:42:49,31800003332.4
329.8,109.6,1244800399.4,0.986063074605547,1487.0,0.19873149970388712,2013-04-26 23:04:43,32103940668.2
395.2,112.8,1825300395.6,0.9861488562665517,1502.4,0.21916100795473548,2013-04-28 05:16:06,33943844372.0
421.2,113.0,1845940390.6,0.986258078406037,1522.0,0.23858581037612797,2013-04-28 19:33:00,38938905050.0
484.8,116.6,1804580382.2,0.986337550383371,1544.2,0.2718555399018474,2013-04-29 11:44:18,35187736265.0
442.6,115.6,1233959997.6,0.9862740210119003,1565.6,0.1478370688789637,2013-04-30 00:32:16,27833179414.4
361.0,111.2,1226299996.8,0.9862789025051553,1583.6,0.12942112021915925,2013-04-30 13:02:49,22294401987.2
327.6,109.4,752679995.6,0.9862603236011205,1601.2,0.13798974913141399,2013-05-01 08:49:47,21962107765.0
251.2,108.2,742079994.8,0.9863239896349361,1621.0,0.13960622069559736,2013-05-01 23:27:37,17860535100.4
164.0,108.2,902040000.4,0.9864238719726423,1645.2,0.11455788030092531,2013-05-02 17:44:23,21907907515.0
129.4,122.4,1330241879.4,0.9867851018437459,1674.4,0.08082283675396078,2013-05-03 07:02:07,21070392909.8
109.4,145.4,2145781876.2,0.9872266461163907,1706.6,0.11912440836925922,2013-05-03 15:53:24,32667556690.6
59.8,159.0,2465456873.4,0.9876044508123101,1743.0,0.09704010030583217,2013-05-04 14:01:39,40435417224.0
44.6,178.6,3170084873.4,0.9878245983751001,1784.4,0.11076773936943533,2013-05-05 15:23:47,48591458021.6
44.6,192.4,3280004874.6,0.9880943021203643,1827.6,0.12244508520131774,2013-05-06 03:26:08,47264894436.6
31.4,257.0,3612173001.4,0.9883025019925507,1871.4,0.23395705954257054,2013-05-06 20:59:49,50691141833.2
31.2,254.8,3136725796.4,0.9883430453046195,1917.8,0.20277071355011414,2013-05-07 09:50:09,41002924781.0
12.4,251.2,3436992805.2,0.9883301387783983,1961.6,0.2388301643956916,2013-05-08 07:23:20,34942305344.4
2.4,251.4,2816564805.6,0.9883837007814413,2009.0,0.28156700212266117,2013-05-08 22:57:41,26150887547.2
2.4,263.2,2857392526.8,0.9884566674486818,2057.8,0.320241629731538,2013-05-09 19:22:13,26400305268.6
5.2,199.6,2158969001.2,0.9884828447536907,2106.8,0.20326097601990245,2013-05-10 07:37:07,23896546885.0
5.6,245.8,2395522247.2,0.9885875562957244,2174.0,0.2635251299355299,2013-05-11 08:41:53,26641603662.2
6.2,247.2,2140720239.4,0.9888457130327633,2240.2,0.23856381436402518,2013-05-11 16:54:57,77168068148.2
14.6,261.4,2277843200.0,0.9890842743889173,2305.4,0.18332481337480663,2013-05-12 23:12:01,146681552107.8
50.8,246.8,2056763787.0,0.9893143288481688,2371.2,0.13566591718321955,2013-05-13 08:18:47,143707678997.2
57.4,259.4,2295237318.0,0.9895308003767201,2440.8,0.1954247789360522,2013-05-14 08:58:38,141966831296.6
57.2,229.2,2061971048.0,0.9896987604254219,2490.2,0.21662310706759005,2013-05-14 23:54:31,136676399451.4
56.6,235.6,1799006142.6,0.9897579649709973,2533.4,0.23442246244723552,2013-05-15 14:33:59,85141052708.4
48.0,212.0,1648839301.0,0.9897811879050289,2568.8,0.21390489632133178,2013-05-16 12:33:49,15851976467.4
11.6,218.6,1972524411.6,0.989786388656093,2594.6,0.22524522221424315,2013-05-17 08:37:09,17020609019.8
2.2,205.8,1942880830.2,0.9898855707577591,2613.2,0.18273042801752193,2013-05-18 03:01:31,25424686116.2
2.2,192.0,1822466479.0,0.990010372691571,2633.8,0.1078340165693568,2013-05-19 00:40:29,65660206987.8
2.2,213.4,1984672856.8,0.9902476704907685,2667.0,0.18468976181946173,2013-05-19 22:10:37,66640368375.4
2.4,237.6,2690411681.6,0.99056357898716,2694.6,0.19886680656576733,2013-05-20 15:12:25,69230366512.0
2.4,240.6,2708519280.2,0.9908412903901269,2727.2,0.1935192796686175,2013-05-21 09:59:11,71324335412.8
7.8,245.0,2559805309.6,0.9910415167390232,2764.6,0.17179014843712637,2013-05-23 09:36:06,65543545791.2
15.4,268.6,2911913364.2,0.9912454292034811,2807.0,0.18151164811609657,2013-05-24 21:13:53,46692819108.6
15.6,257.2,3482843423.4,0.9914030262735688,2840.6,0.0900605166297653,2013-05-26 22:46:31,46767017224.6
15.4,221.4,2634488478.0,0.9915024550686807,2877.4,0.0794926822014534,2013-05-30 19:08:24,42357856686.6
15.4,196.6,2372532139.0,0.9916365272855732,2912.4,0.09122032009825205,2013-06-02 10:35:31,40761638830.4
10.0,173.4,2330009688.4,0.9917243305514525,2942.8,0.09073585867746832,2013-06-03 06:15:47,41800189342.2
18.0,135.0,1826956216.6,0.9917609594768668,2967.4,0.06294524574454603,2013-06-04 00:42:31,27479187628.2
18.0,103.2,966944427.6,0.991718390478869,2988.8,0.04328125642083874,2013-06-04 18:28:37,24218460047.4
18.0,102.4,1182377500.0,0.9916708259859753,3011.4,0.03971163699462705,2013-06-05 11:53:04,24916356369.6
18.0,108.4,1185252820.6,0.991577685002536,3031.6,0.011703775216706024,2013-06-06 05:24:33,25540487163.0
18.0,104.6,1233452822.2,0.9915123546124871,3049.8,0.00914197225760627,2013-06-07 01:34:53,23384305616.4
2.2,104.6,1685432826.0,0.9914619071016842,3064.8,0.009161629118382498,2013-06-07 20:52:24,17079757898.4
2.0,106.2,1717233088.6,0.9914028040851746,3080.0,0.010581806214604215,2013-06-08 16:10:28,20647198441.2
2.0,102.2,1611220017.2,0.9913451776263276,3090.6,0.009859453220944569,2013-06-09 11:48:46,19766614036.0
2.0,92.0,1564393811.0,0.9912796722128967,3100.6,0.018876022634368345,2013-06-10 06:21:55,17433606774.6
2.0,99.4,1680255654.8,0.9912469305182897,3110.2,0.022477911118597246,2013-06-11 01:13:27,16584027228.4
2.0,89.2,1520655656.0,0.9912154817026501,3119.6,0.01989714752427199,2013-06-11 18:48:51,24331274413.0
2.0,85.2,1478756772.4,0.9911819222711958,3132.8,0.017328369695064367,2013-06-12 14:27:05,22953127184.8
2.0,90.2,1894776772.4,0.9911719894219445,3148.2,0.01887667571443855,2013-06-13 09:02:17,24942179861.4
2.0,109.6,2001362978.0,0.9911670001530739,3166.0,0.05827590320255134,2013-06-14 05:35:55,27077975408.0
1.8,104.4,1871482502.6,0.9911268652695753,3183.4,0.055063742462544474,2013-06-15 02:17:41,29350340192.4
1.6,108.0,1653182501.8,0.9910975228005311,3200.8,0.055697156049627695,2013-06-15 23:41:33,24335311526.6
1.4,105.0,1657161383.8,0.9910779970578194,3213.0,0.05970751042629352,2013-06-16 18:28:12,24677587670.0
1.2,96.4,1675221383.0,0.9910537852526247,3222.4,0.06664618882240037,2013-06-17 15:17:03,22944312655.2
1.0,77.4,1654669125.2,0.9910384944316609,3231.0,0.019246974025873376,2013-06-18 10:34:42,20928924713.8
1.0,81.8,1704487756.8,0.9910300400563473,3246.0,0.01890706611456765,2013-06-19 04:36:26,24633763504.2
1.0,77.4,1730387755.6,0.9910342298730317,3265.0,0.026282776017710768,2013-06-19 22:23:44,22118570380.8
1.2,70.0,1762907756.0,0.9910355410943991,3283.8,0.022942215635676833,2013-06-20 18:40:06,19769258785.2
1.4,64.8,1286807756.6,0.9910324767739915,3302.2,0.01393887913633072,2013-06-21 11:51:15,23623752121.2
